地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易筆棟數,建物現況格局,主要用途
賢聚４０之５號二樓,2018/10/26,526,22.6,23.27,85.71%,公寓(5樓含以下無電梯),1,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
浴井８６號,2018/10/23,660,23.9,27.59,88.45%,公寓(5樓含以下無電梯),1,一層/三層,土:1 建:1車:0,3房1廳3衛,住家用
金門城１０６之９號二樓,2018/10/1,488,19.4,25.2,73.11%,公寓(5樓含以下無電梯),1,二層/五層,土:1 建:1車:0,3房2廳2衛,住家用
小西門３９號三樓,2018/9/26,380,19.6,19.36,76.02%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,2房1廳1衛,住家用
小西門３９號,2018/9/26,412,22.7,18.16,81.06%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,2房1廳1衛,住家用
小西門４０號三樓,2018/9/26,375,18.6,20.14,76.33%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,2房1廳1衛,住家用
小西門４０號二樓,2018/9/26,370,18.4,20.14,76.33%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,2房1廳1衛,住家用
小西門３９號二樓,2018/9/26,365,18.9,19.36,76.02%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,2房1廳1衛,住家用
浴井３５號,2018/9/22,470,20.3,23.11,92.63%,公寓(5樓含以下無電梯),1,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
浴井３３號,2018/9/16,516,22.8,22.64,88.79%,公寓(5樓含以下無電梯),1,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
西海路三段３９巷２弄１７號１樓,2018/9/15,510,17.2,29.69,91.09%,公寓(5樓含以下無電梯),24,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門１之１１號二樓,2018/9/13,425,15.9,26.74,79.05%,公寓(5樓含以下無電梯),8,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
西海路三段２２巷２３弄４號２樓,2018/9/13,380,13.6,28.01,93.01%,公寓(5樓含以下無電梯),23,二層/三層,土:2 建:1車:0,3房2廳2衛,住家用
金門城１０６之９號三樓,2018/9/10,460,18.3,25.2,73.11%,公寓(5樓含以下無電梯),1,三層/五層,土:1 建:1車:0,3房1廳2衛,住家用
民族路３２之１號,2018/9/3,1150,25.1,45.88,77.09%,公寓(5樓含以下無電梯),23,一層/五層,土:2 建:2車:0,2房1廳1衛,住家用
金門城１５９之９號,2018/8/22,190,23.1,8.22,86.83%,公寓(5樓含以下無電梯),2,一層/三層,土:1 建:1車:0,1房1廳1衛,住家用
浴井７９號,2018/8/20,770,22,34.98,94.72%,公寓(5樓含以下無電梯),1,一層/三層,土:6 建:1車:0,3房2廳2衛,住家用
浴井７８號二樓,2018/7/28,780,20.7,37.67,87.95%,公寓(5樓含以下無電梯),,二層/三層,土:6 建:1車:0,3房2廳2衛,住家用
金門城１０６之１０號四樓,2018/7/10,480,19.1,25.2,73.11%,公寓(5樓含以下無電梯),,四層/五層,土:1 建:1車:0,3房1廳2衛,住家用
賢聚４０之５號三樓,2018/7/10,450,19.3,23.27,85.71%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
民權路２２６巷４弄１５號３樓,2018/7/2,800,26.9,29.76,80.42%,公寓(5樓含以下無電梯),10,三層/五層,土:1 建:1車:0,3房2廳2衛,住家用
民權路２２６巷４弄１５號４樓,2018/6/22,800,26.9,29.76,80.42%,公寓(5樓含以下無電梯),10,四層/五層,土:1 建:1車:0,3房2廳2衛,住家用
賢聚４２之７號,2018/5/16,750,22,34.06,85.84%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
