地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,樓別/樓高
小西門７６之２號五樓,2020/12/23,775.0,18.1,42.89,79.72,華廈(10層含以下有電梯),五層/五層
金門城８８之８號三樓,2020/12/20,663.0,19.9,33.33,80.34,華廈(10層含以下有電梯),三層/五層
金門城２０３號二樓,2020/12/15,428.0,20.4,21.0,81.05,華廈(10層含以下有電梯),二層/五層
浴井２６號,2020/11/26,640.0,24.8,25.83,93.43,公寓(5樓含以下無電梯),一層/三層
山前６８號,2020/11/25,500.0,19.9,25.19,77.95,華廈(10層含以下有電梯),一層/三層
慈湖路一段１巷１２號二樓,2020/11/20,500.0,23.5,21.25,51.27,華廈(10層含以下有電梯),二層/三層
民權路２２６巷２弄１２號六樓之７,2020/11/7,1188.0,30.0,47.17,67.49,住宅大樓(11層含以上有電梯),六層/十一層
小西門５之１號二樓,2020/11/4,510.0,19.0,26.87,82.32,公寓(5樓含以下無電梯),二層/三層
中興路１６１巷１７號３樓,2020/11/3,730.0,25.0,29.24,79.37,公寓(5樓含以下無電梯),三層/五層
民生路２５號９樓之８,2020/11/3,650.0,22.8,28.48,71.61,住宅大樓(11層含以上有電梯),九層/十二層
珠浦西路５０巷１１弄１０號三樓之２,2020/11/2,280.0,22.2,12.63,64.65,公寓(5樓含以下無電梯),三層/四層
大古崗１２７號二樓,2020/10/28,540.0,18.6,29.1,80.05,華廈(10層含以下有電梯),二層/五層
金門城２０５號二樓,2020/10/26,550.0,19.7,27.98,76.39,華廈(10層含以下有電梯),二層/五層
大學路５３巷６弄１號三樓之１,2020/10/14,250.0,25.9,9.65,77.81,公寓(5樓含以下無電梯),三層/三層
金門城８８之８號五樓,2020/10/11,681.0,20.4,33.33,80.34,華廈(10層含以下有電梯),五層/五層
民權路２２６巷２弄１２號九樓之１,2020/9/29,1750.0,31.8,70.56,66.85,住宅大樓(11層含以上有電梯),九層/十一層
民權路２２６巷２弄１２號九樓之５,2020/9/22,1700.0,32.8,59.63,66.85,住宅大樓(11層含以上有電梯),九層/十一層
大古崗１２８號二樓,2020/9/21,501.0,17.2,29.06,79.65,華廈(10層含以下有電梯),二層/五層
大古崗１２８號五樓,2020/9/19,560.0,19.3,29.06,79.65,華廈(10層含以下有電梯),五層/五層
小西門５０之６號,2020/9/17,610.0,14.6,41.83,90.86,公寓(5樓含以下無電梯),"一層,地下一層/三層"
金門城８９之６號,2020/9/15,410.0,23.4,17.53,86.52,公寓(5樓含以下無電梯),一層/三層
大古崗１２７號,2020/9/14,530.0,19.1,27.82,83.74,華廈(10層含以下有電梯),一層/五層
珠浦西路６巷６弄６號５樓,2020/9/14,420.0,19.3,21.71,76.09,公寓(5樓含以下無電梯),五層/五層
山前３１號,2020/9/7,150.0,12.7,11.82,100.00,公寓(5樓含以下無電梯),"一層,二層,三層/三層"
小古崗１９之９號三樓,2020/8/31,550.0,19.9,27.62,86.83,公寓(5樓含以下無電梯),三層/三層
大古崗１２７號五樓,2020/8/26,510.0,17.5,29.1,80.05,華廈(10層含以下有電梯),五層/五層
西海路三段１０６巷１７弄１０號,2020/8/25,480.0,13.8,34.89,65.17,公寓(5樓含以下無電梯),一層/三層
西海路三段１０６巷１７弄１０號二樓,2020/8/25,460.0,12.0,38.28,58.68,公寓(5樓含以下無電梯),二層/三層
民權路１８４巷３弄２號二樓,2020/8/24,848.0,25.2,33.71,81.43,華廈(10層含以下有電梯),二層/五層
民權路２２６巷４弄７號六樓,2020/8/20,920.0,26.7,34.52,73.57,華廈(10層含以下有電梯),六層/七層
金門城８８之９號,2020/8/14,430.0,18.3,23.51,80.53,華廈(10層含以下有電梯),一層/五層
金門城８８之１０號,2020/8/14,437.0,18.6,23.43,87.32,華廈(10層含以下有電梯),一層/五層
金門城８８之９號二樓,2020/8/13,430.0,18.2,23.56,80.58,華廈(10層含以下有電梯),二層/五層
民生路２５號９樓之７,2020/8/13,787.0,24.9,31.66,72.21,住宅大樓(11層含以上有電梯),九層/十二層
民權路１８４巷６弄２號５樓,2020/8/12,1120.0,25.0,44.72,74.45,華廈(10層含以下有電梯),"五層,見其他登記事項/五層"
金門城８９之６號三樓,2020/8/1,413.0,21.8,18.91,80.20,公寓(5樓含以下無電梯),三層/三層
小西門５０之２號三樓,2020/7/29,535.0,17.4,30.69,81.43,公寓(5樓含以下無電梯),三層/三層
浴井５５號二樓,2020/7/20,610.0,19.0,32.15,73.92,華廈(10層含以下有電梯),二層/四層
民權路２２６巷２弄１２號八樓之１,2020/7/15,1660.0,32.0,59.63,66.86,住宅大樓(11層含以上有電梯),八層/十一層
金門城８８之９號四樓,2020/7/13,465.0,19.7,23.56,80.58,華廈(10層含以下有電梯),四層/五層
庵前２９之７號二樓之１,2020/7/2,420.0,21.5,19.58,88.55,公寓(5樓含以下無電梯),二層/三層
民權路２００號四樓,2020/6/28,720.0,24.2,29.78,63.67,華廈(10層含以下有電梯),四層/七層
民權路２２６巷２弄１２號四樓之６,2020/6/19,746.0,28.6,26.05,70.74,住宅大樓(11層含以上有電梯),四層/十一層
民權路２２６巷２弄１２號四樓之５,2020/6/18,1220.0,17.3,75.75,69.36,住宅大樓(11層含以上有電梯),四層/十一層
浴井５１號四樓,2020/6/8,610.0,20.1,30.27,79.96,華廈(10層含以下有電梯),四層/五層
民權路２２６巷２弄１２號七樓之３,2020/6/3,1355.0,32.4,49.69,68.44,住宅大樓(11層含以上有電梯),七層/十一層
民權路２２６巷２弄１２號七樓之７,2020/6/3,1147.0,32.0,35.83,68.30,住宅大樓(11層含以上有電梯),七層/十一層
金門城２０５號,2020/5/30,500.0,17.9,27.98,76.41,華廈(10層含以下有電梯),一層/五層
民權路２０２號四樓,2020/5/26,750.0,25.2,29.72,63.79,華廈(10層含以下有電梯),四層/七層
民權路２２６巷２弄１２號八樓之２,2020/5/26,1680.0,32.4,58.17,67.24,住宅大樓(11層含以上有電梯),八層/十一層
金門城５之９號,2020/5/23,380.0,20.9,18.2,85.54,公寓(5樓含以下無電梯),一層/三層
民權路２２６巷２弄１２號五樓之２,2020/5/22,810.0,31.1,26.05,70.74,住宅大樓(11層含以上有電梯),五層/十一層
民權路２２６巷２弄１２號七樓之５,2020/5/21,1355.0,32.4,49.69,68.44,住宅大樓(11層含以上有電梯),七層/十一層
小古崗１９之９號,2020/5/19,570.0,21.8,26.09,91.93,公寓(5樓含以下無電梯),一層/三層
民權路２２６巷２弄１２號四樓之３,2020/5/18,1210.0,28.6,49.69,68.44,住宅大樓(11層含以上有電梯),四層/十一層
