地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註
菜市場１７號,,111/03/10,868,0,24.31,,透天厝,54,全/二層,房地(土地+建物),土:3 建:1車:0,2房2廳2衛,,無,無,住家用,陽台外推;(包含)公共設施保留地(用地);
珠浦南路５０巷３弄７號五樓,,111/03/10,407,25.1,16.2,63.14%,華廈(10層含以下有電梯),7,五層/五層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,
莒光路一段２３號,,111/03/07,1800,0,42.99,,透天厝,54,全/二層,房地(土地+建物),土:3 建:1車:0,2房0廳2衛,,無,無,住商用,
庵前５３之５號二樓,,111/03/04,690,20.9,33.01,87.16%,公寓(5樓含以下無電梯),4,二層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,
金門城１０３之５號,,111/02/22,580,20.4,28.47,80.60%,華廈(10層含以下有電梯),1,一層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,有,住家用,建物第一次登記後移轉
浴井２６號二樓,,111/02/16,600,21.6,27.79,83.62%,公寓(5樓含以下無電梯),4,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,"土地增值稅新台幣86,495元由買方負擔。"
民生路４５巷３０號,,111/02/10,700,0,25.83,,透天厝,43,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳3衛,,無,無,住商用,
庵前２０之７號,,111/01/23,1280,0,53.36,,透天厝,6,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳5衛,,有,無,住家用,
大學路５３巷６弄１６號,,111/01/19,180,21.6,8.35,75.80%,公寓(5樓含以下無電梯),12,一層/三層,房地(土地+建物),土:2 建:1車:0,1房0廳1衛,,無,無,住家用,
民權路２２６巷４弄６號二樓,向上愛家,111/01/19,850,24.6,34.52,73.57%,華廈(10層含以下有電梯),9,二層/七層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,有,有,住家用,
民權路２２６巷２弄１２號七樓之２,熙鼎御苑,111/01/18,850,45.1,26.05,70.74%,住宅大樓(11層含以上有電梯),5,七層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,2房2廳1衛,100,有,有,住家用,含裝潢費;含傢俱設備費;預售屋、或土地及建物分件登記案件;
小古崗１９之９號二樓,,111/01/06,580,21,27.62,86.83%,公寓(5樓含以下無電梯),5,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
民族路１５５號,,111/01/05,800,0,27.21,,透天厝,55,全/二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,,買方除買賣價金外，另負擔土地增值稅。頂樓加蓋;
